node,gene,log2FC,pVal,FDR
4,Mrps14,-0.9378498618363273,0.0,2.3870906139597062e-6
4,Cacybp,-1.7468018187470695,0.0,2.3870906139597062e-6
4,Kifap3,-2.1671612618463993,0.0,2.3870906139597062e-6
4,Tiprl,-1.294860151186516,0.0,2.3870906139597062e-6
4,Mpc2,-1.3482637110134745,0.0,2.3870906139597062e-6
4,Rcsd1,1.3535932170754308,0.0,2.3870906139597062e-6
4,Mgst3,-2.2999813907873476,0.0,2.3870906139597062e-6
4,Pbx1,-2.8707915321279187,0.0,2.3870906139597062e-6
4,Ndufs2,-1.4420644055585286,0.0,2.3870906139597062e-6
4,Ufc1,-1.0747704366889081,0.0,2.3870906139597062e-6
4,Pfdn2,-1.8341331413159603,0.0,2.3870906139597062e-6
4,F11r,2.220804516424406,0.0,2.3870906139597062e-6
4,B930036N10Rik,2.480728253415215,0.0,2.3870906139597062e-6
4,Slamf6,1.567762723565293,0.0,2.3870906139597062e-6
4,Vangl2,-1.2094640299701178,0.0,2.3870906139597062e-6
4,Pex19,-1.4527503875973478,0.0,2.3870906139597062e-6
4,Igsf8,-2.6556783345848567,0.0,2.3870906139597062e-6
4,Igsf9,-3.619437651375221,0.0,2.3870906139597062e-6
4,Cadm3,-5.756490392647165,0.0,2.3870906139597062e-6
4,Cep170,-2.5180351200909117,0.0,2.3870906139597062e-6
4,Zbtb18,-4.255573267561971,0.0,2.3870906139597062e-6
4,Cox20,-1.1856279682644812,0.0,2.3870906139597062e-6
4,Hnrnpu,-0.7972017091425742,0.0,2.3870906139597062e-6
5,Sox17,5.917407229114345,0.0,2.3870906139597062e-6
5,Sgk3,2.751246573403852,0.0,2.3870906139597062e-6
5,Prex2,4.576746432171827,0.0,2.3870906139597062e-6
5,Sulf1,0.9996512444419705,0.0,2.3870906139597062e-6
5,Tram1,1.533672078412635,0.0,2.3870906139597062e-6
5,Eya1,2.398146251468476,0.0,2.3870906139597062e-6
5,Gm9947,Infinity,0.0,2.3870906139597062e-6
5,Msc,6.5667474016548795,0.0,2.3870906139597062e-6
5,Ly96,3.257254518895098,0.0,2.3870906139597062e-6
5,Jph1,3.8889066014968217,0.0,2.3870906139597062e-6
5,Tram2,3.140842744083016,0.0,2.3870906139597062e-6
5,Gm29107,3.48829573778462,0.0,2.3870906139597062e-6
5,Neurl3,4.417956875298953,0.0,2.3870906139597062e-6
5,Arid5a,2.178436971411121,0.0,2.3870906139597062e-6
5,Fam178b,4.482431115721403,0.0,2.3870906139597062e-6
5,2010300C02Rik,2.847596498070191,0.0,2.3870906139597062e-6
5,Tbc1d8,2.7330115048820485,0.0,2.3870906139597062e-6
5,Il1r2,3.1558243670758506,0.0,2.3870906139597062e-6
5,Il1r1,3.5353555382672606,0.0,2.3870906139597062e-6
5,Il1rl2,3.7098416118244737,0.0,2.3870906139597062e-6
5,Gulp1,2.8692570191214,0.0,2.3870906139597062e-6
5,Col5a2,2.3213127093427213,0.0,2.3870906139597062e-6
5,Slc40a1,5.153159265828095,0.0,2.3870906139597062e-6
5,Cavin2,4.837143866182217,0.0,2.3870906139597062e-6
